severity,type,component,line,rule,message,status,effort
CRITICAL,CODE_SMELL,batch-worker/core/src/main/java/io/github/pinpols/batch/worker/core/infrastructure/PlatformPipelineRunRepository.java,75,java:S1192,"Define a constant instead of duplicating this literal ""lastSuccessStage"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/service/LaunchBatchDayService.java,435,java:S3776,Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.,OPEN,11min
CRITICAL,CODE_SMELL,batch-console-api/src/test/java/io/github/pinpols/batch/console/domain/rbac/service/ConsoleMetaEnumRegistrationTest.java,1,java:S1598,"File path ""/Users/dengchao/Downloads/file-batch-system/batch-console-api/src/test/java/io/github/pinpols/batch/console/domain/rbac/service"" should match package name ""io.github.pinpols.batch.console.application.rbac"". Move the file or change the package name.",OPEN,5min
CRITICAL,CODE_SMELL,batch-worker/import/src/main/java/io/github/pinpols/batch/worker/imports/stage/format/DelimitedFormatParser.java,40,java:S3776,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,OPEN,19min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/application/ops/ConsoleClusterDiagnosticService.java,50,java:S1192,"Define a constant instead of duplicating this literal ""diagnostic:"" 5 times.",OPEN,12min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/rbac/web/ConsoleAuthController.java,187,java:S1192,Use already-defined constant 'CONSOLE_TOKEN_COOKIE' instead of duplicating its value here.,OPEN,4min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelValidator.java,407,java:S1192,Use already-defined constant 'COL_SCHEDULE_TYPE' instead of duplicating its value here.,OPEN,4min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/web/response/ConsoleAlertRoutingResponse.java,63,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-worker/process/src/main/java/io/github/pinpols/batch/worker/processes/stage/DefaultProcessStageExecutor.java,92,java:S1192,"Define a constant instead of duplicating this literal ""processedCount"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/config/DefaultConsoleConfigSyncApplicationService.java,142,java:S1192,"Define a constant instead of duplicating this literal ""failedItems"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/support/web/ConsoleApiExceptionHandler.java,156,java:S1452,Remove usage of generic wildcard type.,OPEN,20min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsoleRetryFailedPartitionsResponse.java,21,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-worker/core/src/main/java/io/github/pinpols/batch/worker/core/support/AbstractPipelineStepExecutionAdapter.java,347,java:S1192,"Define a constant instead of duplicating this literal ""payload"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/service/workflow/WorkflowGraphValidator.java,539,java:S1192,"Define a constant instead of duplicating this literal ""V16-d"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-worker/import/src/main/java/io/github/pinpols/batch/worker/imports/stage/PreprocessStep.java,246,java:S1192,"Define a constant instead of duplicating this literal ""PARSING"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-worker/atomic/src/main/java/io/github/pinpols/batch/worker/atomic/sql/SqlTaskExecutor.java,494,java:S3776,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,OPEN,15min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/config/DefaultConsoleResourceQueueApplicationService.java,74,java:S1192,"Define a constant instead of duplicating this literal ""priority_policy"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelValidator.java,146,java:S1192,"Define a constant instead of duplicating this literal ""PREPARE"" 4 times.",OPEN,10min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/service/workflow/WorkflowRunManagementApplicationService.java,57,java:S1192,Use already-defined constant 'STATUS_PAUSED' instead of duplicating its value here.,OPEN,4min
